Label,P50:string,P51:string,P52:string,P53:string,P54:string,P55:string,P56:string,Description,P57:string,P58:string
가로등,1,ㄱ,행안부주소용어목록,street light,garodeung,街路燈,,"거리의 조명이나 교통의 안전, 또는 미관 따위를 위하여 길가를 따라 설치해 놓은 등",표준국어대사전,
가상주소,2,ㄱ,행안부주소용어목록,virtual address,gasangjuso,假想住所,,,,
각각출입구,3,ㄱ,행안부주소용어목록,,,,,,,
개방자치단체코드,4,ㄱ,주소기반KG,,,,,,,
개방형 출입구,5,ㄱ,행안부주소용어목록,,,,,,,
갱신일자,6,ㄱ,행안부주소용어목록,update date,gaengsinilja,更新日字,,기존의 내용을 변동된 사실에 따라 변경∙추가∙삭제한 날짜를 연월일로 표현,표준국어대사전,
거주건물,7,ㄱ,행안부주소용어목록,,,,,,,
건물,8,ㄱ,행안부주소용어목록,building,geonmul,建物,,"사람이 들어 살거나, 일을 하거나, 물건을 넣어 두기 위하여 지은 집을 통틀어 이르는 말.",표준국어대사전,
건물 경계,9,ㄱ,행안부주소용어목록,,,,,,,
건물군,11,ㄱ,주소표준화계획,Building Groups,geonmulgun,建物群,,"대학, 병원, 공동 주택처럼 무리를 이루어 하나의 목적을 추구하거나 같은 주소를 사용하는, 동일 건물 경계 내에 있는 건축물.",우리말샘,
건물군일련번호,13,ㄱ,행안부주소용어목록,,,,,,,
건물등,14,ㄱ,행안부주소용어목록,"building, etc.",geonmuldeung,,,"다음 각 목의 어느 하나에 해당하는 건축물 또는 구조물을 의미함.
가. 건축법 제2조제1항제2호에 따른 건축물
나. 현실적으로 30일 이상 거주하거나 정착하여 활동하는 데 이용되는 인공구조물 및 자연적으로 형성된 구조물",도로명주소법,
건물명,15,ㄱ,행안부주소용어목록,building name,,建物名,,,,
건물명칭,16,ㄱ,행안부주소용어목록,building name,,建物名稱,,,,
건물번호,17,ㄱ,행안부주소용어목록,building number,,建物番號,,행정안전부장관이 정하는 기준에 따라 건물(둘 이상의 건물 등이 현실적으로 하나의 집단을 형성하고 있는 경우에는 그 건물 등의 전체)마다 매긴 번호,공통표준용어,
건물번호판,18,ㄱ,행안부주소용어목록,building number sign,geonmulbeonhopan,建物番號板,,,,
건물본번,19,ㄱ,주소기반KG,building main number,geonmulbonbeon,建物本番,,행정안전부장관이 정하는 기준에 따라 건물마다 매긴 번호의 붙임표(-) 앞에 오는 주된 번호,공통표준용어,
건물부번,20,ㄱ,행안부주소용어목록,building sub number,geonmulbubeon,建物附番,,행정안전부장관이 정하는 기준에 따라 건물마다 매긴 번호의 붙임표(-) 뒤에 오는 가지 번호,공통표준용어,
건물시설,21,ㄱ,주소표준화계획,,,,,,,
건물종속구분,22,ㄱ,행안부주소용어목록,,,,,,,
격자방식,29,ㄱ,행안부주소용어목록,,,,,,,
경로유형,33,ㄱ,행안부주소용어목록,,,,,,,
공간객체 구축,42,ㄱ,행안부주소용어목록,,,,,,,
공간참조체계,44,ㄱ,행안부주소용어목록,,,,,,,
공중연결경로,50,ㄱ,행안부주소용어목록,,,,,,,
관리번호,53,ㄱ,행안부주소용어목록,,,,,,,
관심지정정보,54,ㄱ,행안부주소용어목록,,,,,,,
교량일련번호,59,ㄱ,행안부주소용어목록,,,,,,,
구역방식,64,ㄱ,행안부주소용어목록,,,,,,,
구역번호,65,ㄱ,행안부주소용어목록,,,,,,,
국가지점번호판 설치 의무지역,74,ㄱ,행안부주소용어목록,,,,,,,
국가지점번호판 점검,75,ㄱ,행안부주소용어목록,,,,,,,
국가지점번호판 확충,76,ㄱ,행안부주소용어목록,,,,,,,
궤적,81,ㄱ,행안부주소용어목록,,,,,,,
기초구역관리번호,85,ㄱ,행안부주소용어목록,,,,,,,
기초번호간격,89,ㄱ,행안부주소용어목록,,,,,,,
기초번호방식,90,ㄱ,행안부주소용어목록,,,,,,,
기초번호판 확충,92,ㄱ,행안부주소용어목록,,,,,,,
기타구역,93,ㄱ,행안부주소용어목록,,,,,,,
내비게이션용유,97,ㄴ,행안부주소용어목록,,,,,,,
농로,100,ㄴ,행안부주소용어목록,,,,,,,
농촌주소,102,ㄴ,행안부주소용어목록,,,,,,,
다방향출입구,103,ㄷ,행안부주소용어목록,,,,,,,
다중단방향출입구,104,ㄷ,행안부주소용어목록,,,,,,,
단방향출입구,105,ㄷ,행안부주소용어목록,,,,,,,
단지 내 도로,106,ㄷ,행안부주소용어목록,,,,,,,
도로구간데이터화,117,ㄷ,행안부주소용어목록,,,,,,,
도로구간종속구분,119,ㄷ,행안부주소용어목록,,,,,,,
도로망,123,ㄷ,행안부주소용어목록,,,,,,,
도로명방식,124,ㄷ,행안부주소용어목록,,,,,,,
도로명주소 개발자센터,126,ㄷ,행안부주소용어목록,,,,,,,
도로명주소기본도,127,ㄷ,행안부주소용어목록,,,,,,,
도로명주소법 개정,129,ㄷ,행안부주소용어목록,,,,,,,
도로명주소변환,130,ㄷ,행안부주소용어목록,,,,,,,
도로명주소전환,131,ㄷ,행안부주소용어목록,,,,,,,
도로변공간,137,ㄷ,행안부주소용어목록,,,,,,,
도로변지주,138,ㄷ,행안부주소용어목록,,,,,,,
도로연결선,139,ㄷ,행안부주소용어목록,,,,,,,
도로위계기능구분,140,ㄷ,행안부주소용어목록,,,,,,,
도로의 부속물,141,ㄷ,행안부주소용어목록,,,,,,,
도로표지,143,ㄷ,행안부주소용어목록,,,,,,,
도시공간정보,144,ㄷ,행안부주소용어목록,,,,,,,
도주소정보위원회,145,ㄷ,행안부주소용어목록,,,,,,,
동일도로명,149,ㄷ,행안부주소용어목록,,,,,,,
드로이드 배달점,153,ㄷ,행안부주소용어목록,,,,,,,
딥러닝기술 기반 국가주소정보,160,ㄷ,행안부주소용어목록,,,,,,,
막다른골목,166,ㅁ,행안부주소용어목록,,,,,,,
망,167,ㅁ,행안부주소용어목록,,,,,,,
망실,168,ㅁ,행안부주소용어목록,,,,,,,
방향,174,ㅂ,행안부주소용어목록,,,,,,,
배경,175,ㅂ,행안부주소용어목록,,,,,,,
별칭정보,188,ㅂ,행안부주소용어목록,,,,,,,
블럭,195,ㅂ,행안부주소용어목록,,,,,,,
블록,196,ㅂ,행안부주소용어목록,,,,,,,
비거주건물,197,ㅂ,행안부주소용어목록,,,,,,,
비표준화주소데이터,199,ㅂ,행안부주소용어목록,,,,,,,
사물주소 부여 대상,208,ㅅ,행안부주소용어목록,,,,,,,
사물주소관리,209,ㅅ,행안부주소용어목록,,,,,,,
사물주소사용,210,ㅅ,행안부주소용어목록,,,,,,,
사물주소판 확충,212,ㅅ,행안부주소용어목록,,,,,,,
사물주소표기,213,ㅅ,행안부주소용어목록,,,,,,,
사물주소활용,214,ㅅ,행안부주소용어목록,,,,,,,
산림레포츠길,219,ㅅ,행안부주소용어목록,,,,,,,
산여부,223,ㅅ,행안부주소용어목록,,,,,,,
상업용,228,ㅅ,행안부주소용어목록,,,,,,,
생활시설,232,ㅅ,행안부주소용어목록,,,,,,,
섬길,233,ㅅ,행안부주소용어목록,,,,,,,
소상공인주소,235,ㅅ,행안부주소용어목록,,,,,,,
수직이동통로,236,ㅅ,행안부주소용어목록,,,,,,,
숲길 안전대책,238,ㅅ,행안부주소용어목록,,,,,,,
스마트폴,240,ㅅ,행안부주소용어목록,,,,,,,
시간정보,243,ㅅ,행안부주소용어목록,,,,,,,
시도분류코드,249,ㅅ,행안부주소용어목록,,,,,,,
시도상 시각화,250,ㅅ,행안부주소용어목록,,,,,,,
시주소정보위원회,257,ㅅ,행안부주소용어목록,,,,,,,
시ㆍ도주소정보위원회,258,ㅅ,행안부주소용어목록,,,,,,,
실내격자 표시,262,ㅅ,행안부주소용어목록,,,,,,,
실내기초번호 간격,265,ㅅ,행안부주소용어목록,,,,,,,
어촌주소,281,ㅇ,행안부주소용어목록,,,,,,,
연결 망,283,ㅇ,행안부주소용어목록,,,,,,,
연결경로,284,ㅇ,행안부주소용어목록,,,,,,,
연계기간,285,ㅇ,행안부주소용어목록,,,,,,,
예비도로명,287,ㅇ,행안부주소용어목록,,,,,,,
위치지능화서비스,294,ㅇ,행안부주소용어목록,,,,,,,
위험지역 안내표시,296,ㅇ,행안부주소용어목록,,,,,,,
이동측위기술,307,ㅇ,행안부주소용어목록,,,,,,,
이용시간,310,ㅇ,행안부주소용어목록,,,,,,,
이정표,311,ㅇ,행안부주소용어목록,,,,,,,
일련번호방식,314,ㅇ,행안부주소용어목록,,,,,,,
입력일자,317,ㅇ,행안부주소용어목록,,,,,,,
입지,318,ㅇ,행안부주소용어목록,,,,,,,
입체복합공간,320,ㅇ,행안부주소용어목록,,,,,,,
입체주소정보,323,ㅇ,행안부주소용어목록,,,,,,,
장소지능화,335,ㅈ,행안부주소용어목록,,,,,,,
전신주,342,ㅈ,행안부주소용어목록,,,,,,,
전주,344,ㅈ,행안부주소용어목록,,,,,,,
종속관계,348,ㅈ,행안부주소용어목록,,,,,,,
종속구간,349,ㅈ,행안부주소용어목록,,,,,,,
주소검색솔루션,360,ㅈ,행안부주소용어목록,,,,,,,
주소규정,362,ㅈ,행안부주소용어목록,,,,,,,
주소규정요소,363,ㅈ,행안부주소용어목록,,,,,,,
주소기반,365,ㅈ,행안부주소용어목록,,,,,,,
주소기반 국제표준,366,ㅈ,행안부주소용어목록,,,,,,,
주소기반 데이터지능정보,367,ㅈ,행안부주소용어목록,,,,,,,
주소기반 모빌리티,368,ㅈ,행안부주소용어목록,,,,,,,
주소기반 별칭,369,ㅈ,행안부주소용어목록,,,,,,,
주소기반 별칭정보,370,ㅈ,행안부주소용어목록,,,,,,,
주소기반 비식별정보 구축,372,ㅈ,행안부주소용어목록,,,,,,,
주소기반 생활,375,ㅈ,행안부주소용어목록,,,,,,,
주소기반 서비스,376,ㅈ,행안부주소용어목록,,,,,,,
주소기반대상,381,ㅈ,행안부주소용어목록,,,,,,,
주소데이터오류,388,ㅈ,행안부주소용어목록,,,,,,,
주소안내,401,ㅈ,행안부주소용어목록,,,,,,,
주소전환,408,ㅈ,행안부주소용어목록,,,,,,,
주소정보 구축,412,ㅈ,행안부주소용어목록,,,,,,,
주소정보 기반 신산업,413,ㅈ,행안부주소용어목록,,,,,,,
주소정보 기반서비스,414,ㅈ,행안부주소용어목록,,,,,,,
주소정보 레지스트리 기반 식별자,415,ㅈ,행안부주소용어목록,,,,,,,
주소정보 부여,416,ㅈ,행안부주소용어목록,,,,,,,
주소정보 위변조 방지기술,417,ㅈ,행안부주소용어목록,,,,,,,
주소정보 융복합서비스,418,ㅈ,행안부주소용어목록,,,,,,,
주소정보 입체화,419,ㅈ,행안부주소용어목록,,,,,,,
주소정보 통계 국가 통계화,420,ㅈ,행안부주소용어목록,,,,,,,
주소정보 품질제고,421,ㅈ,행안부주소용어목록,,,,,,,
주소정보민간개방,428,ㅈ,행안부주소용어목록,,,,,,,
주소정보변경,429,ㅈ,행안부주소용어목록,,,,,,,
주소정보부여대상 탐지,430,ㅈ,행안부주소용어목록,,,,,,,
주소정보산업 생태계,432,ㅈ,행안부주소용어목록,,,,,,,
주소정보산업육성,433,ㅈ,행안부주소용어목록,,,,,,,
주소정보산업진흥,434,ㅈ,행안부주소용어목록,,,,,,,
주소정보산업통계조사,435,ㅈ,행안부주소용어목록,,,,,,,
주소정보시설,436,ㅈ,행안부주소용어목록,,,,,,,
주소정보시설 관리,438,ㅈ,행안부주소용어목록,,,,,,,
주소정보시설 관리체계,439,ㅈ,행안부주소용어목록,,,,,,,
주소정보시설 교체,440,ㅈ,행안부주소용어목록,,,,,,,
주소정보시설 설치 위치,441,ㅈ,행안부주소용어목록,,,,,,,
주소정보시설 일제 정비,442,ㅈ,행안부주소용어목록,,,,,,,
주소정보시설 제거,443,ㅈ,행안부주소용어목록,,,,,,,
주소정보시설 훼손,444,ㅈ,행안부주소용어목록,,,,,,,
주소정보시설고도화,445,ㅈ,행안부주소용어목록,,,,,,,
주소정보시장,446,ㅈ,행안부주소용어목록,,,,,,,
주소정보정제,450,ㅈ,행안부주소용어목록,,,,,,,
주소정보진흥대책,453,ㅈ,행안부주소용어목록,,,,,,,
주소정보통계,454,ㅈ,행안부주소용어목록,,,,,,,
주소정보품질인증,455,ㅈ,행안부주소용어목록,,,,,,,
주소정보활용,456,ㅈ,행안부주소용어목록,,,,,,,
주소지능정보 구축,464,ㅈ,행안부주소용어목록,,,,,,,
